run,condition_label,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,channel,sensor_id,position,direction,signal_type,unit,band_label,low_hz,high_hz,energy,energy_ratio
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,0-10 Hz,0.0,10.0,2.1547979849602768e-05,0.004064504122114154
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,10-100 Hz,10.0,100.0,0.001320894815969166,0.2491547913938143
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.003959059971115213,0.7467807044840714
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,1.2658954678390958e-23,2.3878049743454173e-21
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,1.0158871265989762e-33,1.9162248352206255e-31
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,0-10 Hz,0.0,10.0,1.573521680754225e-07,7.064471093143302e-06
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,10-100 Hz,10.0,100.0,5.111100379974869e-07,2.294675779184637e-05
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,100-1000 Hz,100.0,1000.0,0.00013824184522797528,0.0062064954771243585
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.004648639884821511,0.20870498634002627
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.017486187341301272,0.7850585505927067
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,0-10 Hz,0.0,10.0,8.762184491957437e-06,0.007187913789426861
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,10-100 Hz,10.0,100.0,0.00026735895343276463,0.21932351571346462
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.0009428952204581881,0.7734885704971084
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,3.498553076466313e-25,2.8699804169218276e-22
